faa,name,lat,lon
BLI,BLI Airport,48.79280090332031,-122.53800201416016
WRG,WRG Airport,56.48429871,-132.3699951
AKN,AKN Airport,58.67679977,-156.6490021
BET,BET Airport,60.77980042,-161.8379974
APN,APN Airport,45.0780983,-83.56030273
IMT,IMT Airport,45.8184013367,-88.1145019531
LNK,LNK Airport,40.85100173950195,-96.75920104980467
ILG,ILG Airport,39.67869949,-75.60649872
PGD,PGD Airport,26.92020035,-81.9905014
MCW,MCW Airport,43.157798767100005,-93.3312988281
PIR,PIR Airport,44.38270187,-100.2860031
ORD,ORD Airport,41.9786,-87.9048
MDT,MDT Airport,40.1935005188,-76.7633972168
PIT,PIT Airport,40.49150085,-80.23290253
RNO,RNO Airport,39.49909973144531,-119.76799774169922
STL,STL Airport,38.748697,-90.370003
CID,CID Airport,41.88470077514648,-91.71080017089844
BTV,BTV Airport,44.4719009399,-73.15329742429999
MLI,MLI Airport,41.44850158691406,-90.50749969482422
DRO,DRO Airport,37.1515007019,-107.753997803
ACK,ACK Airport,41.25310135,-70.06020355
MGM,MGM Airport,32.30059814,-86.39399719
JAC,JAC Airport,43.6072998046875,-110.73799896240234
MQT,MQT Airport,46.3535995483,-87.395401001
YKM,YKM Airport,46.56819916,-120.5439987
OME,OME Airport,64.51219940185547,-165.44500732421875
RDD,RDD Airport,40.50899887,-122.2929993
CIU,CIU Airport,46.25080108642578,-84.47239685058594
INL,INL Airport,48.566200256347656,-93.4030990600586
CPR,CPR Airport,42.908001,-106.463997
OGD,OGD Airport,41.195899963379,-112.0120010376
JLN,JLN Airport,37.151798248291016,-94.49829864501952
GUC,GUC Airport,38.53390121,-106.9329987
LWB,LWB Airport,37.8582992554,-80.3994979858
LAX,LAX Airport,33.94250107,-118.4079971
ONT,ONT Airport,34.055999755859375,-117.60099792480467
JAX,JAX Airport,30.49410057067871,-81.68789672851562
SEA,SEA Airport,47.449001,-122.308998
ICT,ICT Airport,37.649899,-97.433098
MLU,MLU Airport,32.51089859008789,-92.0376968383789
BGR,BGR Airport,44.80739974975586,-68.8281021118164
ART,ART Airport,43.99190139770508,-76.02169799804688
KTN,KTN Airport,55.35559845,-131.7140045
GTF,GTF Airport,47.48199844,-111.3710022
BTM,BTM Airport,45.95479965209961,-112.49700164794922
ABY,ABY Airport,31.535499572753903,-84.19450378417969
DHN,DHN Airport,31.3213005065918,-85.44960021972656
TTN,TTN Airport,40.27669906616211,-74.8134994506836
PIE,PIE Airport,27.91020012,-82.68740082
BLV,BLV Airport,38.5452,-89.835197
STC,STC Airport,45.54660034179688,-94.05989837646484
BIH,BIH Airport,37.3731002808,-118.363998413
CYS,CYS Airport,41.15570068,-104.8119965
ALS,ALS Airport,37.434898,-105.866997
RIW,RIW Airport,43.064201355,-108.459999084
EAR,EAR Airport,40.727,-99.0068
